No.,trickiness,graph,time,RL,algo_T,algo_F,algo_L,algo_tdL,algo_tdS,algo_pw,LB,UB,,
1,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,4.719%
2,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,382
3,less tricky,BN,peak at the bottom,3,3,4,4,3,3,4,3,3,0,
4,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
5,less tricky,BN,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
6,less tricky,BN,peak at the bottom,3,3,4,3,3,3,3,3,3,0,
7,less tricky,BN,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
8,very tricky,BN,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
9,tricky,BN,peak at the bottom,3,3,4,3,3,3,4,3,3,0,
10,less tricky,BN,peak at the bottom,3,3,3,3,3,3,4,3,3,0,
11,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
12,tricky,BN,peak at the bottom,3,3,4,4,3,3,4,3,3,0,
13,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
14,very tricky,BN,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
15,very tricky,BN,peak at the bottom,4,5,5,5,5,5,5,3,3,0.333333333,
16,very tricky,BN,peak in the middle,13,13,12,13,13,13,12,12,12,0.083333333,
17,extremely tricky,BN,peak in the middle,11,11,11,11,11,11,11,10,10,0.1,
18,very tricky,BN,peak in the middle,12,11,12,12,12,11,12,11,11,0.090909091,
19,very tricky,BN,peak in the middle,15,15,16,16,15,15,16,14,14,0.071428571,
20,very tricky,BN,peak in the middle,12,12,11,12,12,12,12,11,11,0.090909091,
21,very tricky,BN,peak in the middle,14,14,16,16,15,15,15,14,14,0,
22,very tricky,BN,peak in the middle,12,12,13,12,12,12,13,12,12,0,
23,less tricky,BN,peak in the middle,13,13,14,14,13,14,13,13,13,0,
24,very tricky,BN,peak in the middle,12,11,13,12,11,11,11,11,11,0.090909091,
25,tricky,BN,peak in the middle,12,12,11,11,11,11,11,11,11,0.090909091,
26,tricky,BN,peak in the middle,12,12,12,12,12,12,12,12,12,0,
27,tricky,BN,peak in the middle,14,14,14,14,13,13,14,13,13,0.076923077,
28,very tricky,BN,peak in the middle,13,13,13,14,12,12,13,12,12,0.083333333,
29,tricky,BN,peak in the middle,10,10,10,10,10,10,10,10,10,0,
30,tricky,BN,peak in the middle,16,16,17,17,16,16,17,16,16,0,
31,very tricky,BN,peak in the middle,12,12,14,13,12,12,13,12,12,0,
32,less tricky,BN,peak in the middle,13,13,13,13,13,13,13,13,13,0,
33,very tricky,BN,peak in the middle,12,12,12,12,12,12,12,11,11,0.090909091,
34,tricky,BN,peak in the middle,12,12,12,12,12,12,12,12,12,0,
35,very tricky,BN,peak in the middle,12,12,12,12,12,12,12,12,12,0,
36,tricky,BN,peak in the middle,13,13,14,14,13,13,14,13,13,0,
37,very tricky,BN,peak in the middle,13,13,13,13,12,12,12,12,12,0.083333333,
38,very tricky,BN,peak in the middle,13,13,13,13,13,13,14,12,12,0.083333333,
39,extremely tricky,BN,peak in the middle,14,14,15,15,13,13,14,13,13,0.076923077,
40,less tricky,BN,peak in the middle,12,12,12,12,12,12,12,12,12,0,
41,less tricky,BN,bimodal,6,6,6,6,6,6,7,6,6,0,
42,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
43,less tricky,BN,bimodal,5,5,5,6,5,5,5,5,5,0,
44,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
45,less tricky,BN,bimodal,6,6,6,6,6,6,6,6,6,0,
46,less tricky,BN,bimodal,4,4,4,4,4,4,4,4,4,0,
47,less tricky,BN,bimodal,4,4,4,4,4,4,4,4,4,0,
48,very tricky,BN,bimodal,6,5,5,6,5,5,6,5,5,0.2,
49,tricky,BN,bimodal,4,4,5,5,4,4,4,4,4,0,
50,less tricky,BN,bimodal,4,4,4,4,4,4,5,4,4,0,
51,less tricky,BN,bimodal,4,4,4,4,4,4,4,4,4,0,
52,tricky,BN,bimodal,4,4,5,5,4,4,5,4,4,0,
53,less tricky,BN,bimodal,5,6,5,5,6,5,5,5,5,0,
54,less tricky,BN,bimodal,6,5,5,5,5,5,5,5,5,0.2,
55,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
56,tricky,BN,bimodal,4,4,5,4,5,5,4,4,4,0,
57,less tricky,BN,bimodal,4,4,4,4,4,4,4,4,4,0,
58,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
59,extremely tricky,BN,bimodal,5,6,5,5,6,6,6,4,4,0.25,
60,less tricky,BN,bimodal,6,6,6,6,6,6,6,6,6,0,
61,less tricky,BN,bimodal,7,7,7,8,7,7,7,7,7,0,
62,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
63,less tricky,BN,bimodal,5,6,6,5,6,6,5,5,5,0,
64,tricky,BN,bimodal,5,5,6,6,5,5,6,5,5,0,
65,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
66,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
67,tricky,BN,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
68,tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
69,tricky,BN,peak at the bottom,3,3,2,2,2,2,2,2,2,0.5,
70,extremely tricky,BN,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
71,tricky,BN,peak at the bottom,4,4,3,4,4,4,3,3,3,0.333333333,
72,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
73,less tricky,BN,peak at the bottom,2,2,2,2,2,2,2,2,2,0,
74,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
75,less tricky,BN,peak at the bottom,3,3,4,4,3,3,3,3,3,0,
76,tricky,BN,peak at the bottom,4,4,3,3,4,4,3,3,3,0.333333333,
77,tricky,BN,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
78,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
79,less tricky,BN,peak at the bottom,3,3,4,3,3,3,4,3,3,0,
80,tricky,BN,peak at the bottom,3,3,3,4,3,4,3,3,3,0,
81,tricky,BN,peak at the bottom,3,3,4,3,4,4,4,3,3,0,
82,less tricky,BN,peak at the bottom,4,4,4,4,4,4,4,4,4,0,
83,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
84,tricky,BN,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
85,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
86,less tricky,BN,peak at the bottom,3,3,4,4,3,3,3,3,3,0,
87,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
88,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
89,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
90,less tricky,BN,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
91,tricky,BN,peak in the middle,11,11,12,12,11,11,11,11,11,0,
92,tricky,BN,peak in the middle,11,12,12,12,12,12,11,11,11,0,
