No.,trickiness,graph,time,RL,algo_T,algo_F,algo_L,algo_tdL,algo_tdS,algo_pw,LB,UB,,
93,very tricky,BN,peak in the middle,14,14,14,14,14,14,14,13,13,0.076923077,
94,extremely tricky,BN,peak in the middle,11,11,11,11,11,11,11,10,10,0.1,
95,tricky,BN,peak in the middle,12,12,12,12,12,12,12,12,12,0,
96,extremely tricky,BN,peak in the middle,11,11,12,12,11,11,12,10,10,0.1,
97,open (not known yet),BN,peak in the middle,15,15,15,15,15,15,15,13,15,0.153846154,
98,very tricky,BN,peak in the middle,14,14,14,14,13,13,13,13,13,0.076923077,
99,tricky,BN,peak in the middle,12,12,13,13,12,12,13,12,12,0,
100,tricky,BN,peak in the middle,11,11,11,11,11,11,11,11,11,0,
101,less tricky,BN,peak in the middle,13,13,13,13,13,13,13,13,13,0,
102,open (not known yet),BN,peak in the middle,13,13,13,14,14,14,14,11,13,0.181818182,
103,tricky,BN,peak in the middle,13,13,13,13,13,13,13,12,12,0.083333333,
104,very tricky,BN,peak in the middle,11,11,11,11,11,11,11,11,11,0,
105,extremely tricky,BN,peak in the middle,13,13,13,13,13,12,12,12,12,0.083333333,
106,very tricky,BN,peak in the middle,10,10,12,12,10,10,12,10,10,0,
107,tricky,BN,peak in the middle,14,14,14,14,14,14,14,14,14,0,
108,less tricky,BN,peak in the middle,15,15,15,15,15,15,15,15,15,0,
109,extremely tricky,BN,peak in the middle,12,12,13,13,13,13,13,12,12,0,
110,extremely tricky,BN,peak in the middle,12,12,12,12,12,12,12,11,11,0.090909091,
111,extremely tricky,BN,peak in the middle,14,14,14,13,13,13,13,13,13,0.076923077,
112,very tricky,BN,peak in the middle,13,13,13,13,11,11,12,11,11,0.181818182,
113,tricky,BN,peak in the middle,12,12,12,12,12,12,12,12,12,0,
114,tricky,BN,peak in the middle,13,13,14,14,13,13,14,13,13,0,
115,extremely tricky,BN,peak in the middle,12,12,14,14,12,12,13,11,11,0.090909091,
116,less tricky,BN,bimodal,5,5,5,6,5,5,5,5,5,0,
117,tricky,BN,bimodal,5,6,5,5,5,5,5,5,5,0,
118,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
119,very tricky,BN,bimodal,7,7,7,7,7,7,6,6,6,0.166666667,
120,tricky,BN,bimodal,6,6,6,7,6,6,6,6,6,0,
121,very tricky,BN,bimodal,6,6,6,6,6,6,6,5,5,0.2,
122,less tricky,BN,bimodal,6,6,6,6,6,6,6,6,6,0,
123,less tricky,BN,bimodal,5,5,5,6,5,5,5,5,5,0,
124,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
125,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
126,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
127,less tricky,BN,bimodal,4,4,4,4,4,4,4,4,4,0,
128,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
129,tricky,BN,bimodal,5,5,6,6,5,5,6,5,5,0,
130,less tricky,BN,bimodal,6,6,6,6,6,6,6,6,6,0,
131,tricky,BN,bimodal,8,8,8,8,8,8,8,7,7,0.142857143,
132,less tricky,BN,bimodal,4,4,4,4,4,4,4,4,4,0,
133,less tricky,BN,bimodal,5,5,5,5,5,5,5,5,5,0,
134,less tricky,BN,bimodal,6,6,6,6,6,6,6,6,6,0,
135,less tricky,BN,bimodal,6,6,6,6,6,6,6,6,6,0,
136,less tricky,BN,bimodal,6,6,6,6,6,6,6,6,6,0,
137,tricky,BN,bimodal,5,5,6,5,5,5,6,5,5,0,
138,very tricky,BN,bimodal,6,6,6,6,5,5,6,5,5,0.2,
139,very tricky,BN,bimodal,6,6,6,6,6,6,5,5,5,0.2,
140,tricky,BN,bimodal,5,5,6,5,6,6,5,5,5,0,
141,less tricky,CH,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
142,less tricky,CH,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
143,tricky,CH,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
144,less tricky,CH,peak at the bottom,4,4,4,4,4,4,4,4,4,0,
145,tricky,CH,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
146,less tricky,CH,peak at the bottom,3,4,3,4,4,4,3,3,3,0,
147,less tricky,CH,peak at the bottom,3,3,3,4,3,3,4,3,3,0,
148,less tricky,CH,peak at the bottom,3,3,3,4,3,3,3,3,3,0,
149,tricky,CH,peak at the bottom,4,4,4,3,4,4,4,3,3,0.333333333,
150,tricky,CH,peak at the bottom,3,3,4,4,3,3,4,3,3,0,
151,less tricky,CH,peak at the bottom,3,4,4,4,4,4,4,3,3,0,
152,less tricky,CH,peak at the bottom,3,3,4,3,3,3,3,3,3,0,
153,tricky,CH,peak at the bottom,3,3,4,4,3,3,4,3,3,0,
154,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
155,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
156,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
157,less tricky,CH,peak at the bottom,3,4,5,4,4,4,5,3,3,0,
158,less tricky,CH,peak at the bottom,3,5,6,6,5,5,6,3,3,0,
159,less tricky,CH,peak at the bottom,4,3,3,3,3,3,3,3,3,0.333333333,
160,tricky,CH,peak at the bottom,4,3,4,4,3,3,4,3,3,0.333333333,
161,tricky,CH,peak at the bottom,3,3,4,3,3,3,3,3,3,0,
162,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
163,tricky,CH,peak at the bottom,4,4,3,4,4,4,4,3,3,0.333333333,
164,less tricky,CH,peak at the bottom,4,4,4,4,4,4,4,4,4,0,
165,less tricky,CH,peak at the bottom,3,4,4,3,4,4,4,3,3,0,
166,tricky,CH,peak in the middle,12,12,13,13,12,12,13,12,12,0,
167,tricky,CH,peak in the middle,11,11,11,11,11,11,11,11,11,0,
168,extremely tricky,CH,peak in the middle,11,11,13,11,11,11,12,10,10,0.1,
169,very tricky,CH,peak in the middle,11,11,12,12,11,11,12,11,11,0,
170,very tricky,CH,peak in the middle,12,11,13,12,11,11,12,11,11,0.090909091,
171,tricky,CH,peak in the middle,13,13,13,13,13,13,13,13,13,0,
172,very tricky,CH,peak in the middle,11,13,13,12,11,11,11,11,11,0,
173,extremely tricky,CH,peak in the middle,11,12,12,12,12,12,12,11,11,0,
174,extremely tricky,CH,peak in the middle,13,14,14,13,14,14,13,12,12,0.083333333,
175,very tricky,CH,peak in the middle,11,12,10,12,11,11,11,10,10,0.1,
176,tricky,CH,peak in the middle,11,11,11,12,11,11,11,11,11,0,
177,tricky,CH,peak in the middle,10,10,11,11,10,10,10,10,10,0,
178,very tricky,CH,peak in the middle,12,12,13,12,11,12,13,11,11,0.090909091,
179,very tricky,CH,peak in the middle,14,14,13,13,11,12,12,11,11,0.272727273,
180,tricky,CH,peak in the middle,13,13,14,13,13,13,14,13,13,0,
181,extremely tricky,CH,peak in the middle,13,12,12,12,12,12,12,11,11,0.181818182,
182,less tricky,CH,peak in the middle,11,11,11,11,11,11,11,11,11,0,
183,less tricky,CH,peak in the middle,14,13,14,14,13,13,14,13,13,0.076923077,
184,very tricky,CH,peak in the middle,12,12,13,14,13,12,13,12,12,0,
185,tricky,CH,peak in the middle,16,16,16,15,15,16,15,15,15,0.066666667,
186,tricky,CH,peak in the middle,14,14,14,14,14,14,14,14,14,0,
187,very tricky,CH,peak in the middle,11,11,11,11,11,11,11,10,10,0.1,
188,very tricky,CH,peak in the middle,12,12,12,11,11,12,11,11,11,0.090909091,
189,tricky,CH,peak in the middle,14,14,13,13,13,14,13,13,13,0.076923077,
190,tricky,CH,peak in the middle,15,15,16,16,15,15,16,15,15,0,
191,less tricky,CH,bimodal,4,4,6,4,4,4,5,4,4,0,
192,less tricky,CH,bimodal,5,5,6,6,5,5,5,5,5,0,
193,less tricky,CH,bimodal,5,5,5,5,5,5,5,5,5,0,
194,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
195,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
196,less tricky,CH,bimodal,5,5,5,5,5,5,6,5,5,0,
197,tricky,CH,bimodal,5,5,5,5,5,5,5,4,4,0.25,
198,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
199,tricky,CH,bimodal,6,5,6,5,5,5,5,5,5,0.2,
200,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
201,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
202,extremely tricky,CH,bimodal,5,5,5,5,5,5,5,4,4,0.25,
203,tricky,CH,bimodal,4,4,5,5,4,4,5,4,4,0,
204,tricky,CH,bimodal,5,5,5,6,5,5,6,5,5,0,
205,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
206,less tricky,CH,bimodal,5,5,5,5,5,5,5,5,5,0,
207,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
208,very tricky,CH,bimodal,5,5,6,6,5,5,6,5,5,0,
209,less tricky,CH,bimodal,4,4,4,5,4,4,5,4,4,0,
210,less tricky,CH,bimodal,5,5,6,6,5,5,5,5,5,0,
211,less tricky,CH,bimodal,5,5,5,5,5,5,5,5,5,0,
212,tricky,CH,bimodal,6,6,6,6,5,5,7,5,5,0.2,
213,less tricky,CH,bimodal,5,5,5,5,5,5,5,5,5,0,
214,tricky,CH,bimodal,6,6,5,5,5,5,5,5,5,0.2,
215,tricky,CH,bimodal,5,5,6,6,5,5,5,5,5,0,
216,tricky,CH,peak at the bottom,4,4,4,3,4,4,3,3,3,0.333333333,
217,less tricky,CH,peak at the bottom,4,4,4,4,4,4,4,4,4,0,
218,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
219,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
220,very tricky,CH,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
221,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
222,tricky,CH,peak at the bottom,4,4,3,4,4,4,3,3,3,0.333333333,
223,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
224,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
225,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
226,very tricky,CH,peak at the bottom,4,4,3,4,4,4,3,3,3,0.333333333,
227,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
228,less tricky,CH,peak at the bottom,2,2,2,2,2,2,2,2,2,0,
229,tricky,CH,peak at the bottom,3,3,4,4,3,3,4,3,3,0,
230,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
231,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
232,very tricky,CH,peak at the bottom,4,4,4,3,4,4,4,3,3,0.333333333,
233,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
234,tricky,CH,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
235,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
236,less tricky,CH,peak at the bottom,4,4,3,3,3,3,3,3,3,0.333333333,
237,tricky,CH,peak at the bottom,3,3,4,4,3,3,4,3,3,0,
238,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
239,less tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
240,tricky,CH,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
241,less tricky,CH,peak in the middle,13,13,13,13,13,13,13,13,13,0,
242,tricky,CH,peak in the middle,12,12,12,12,12,12,12,12,12,0,
243,less tricky,CH,peak in the middle,10,10,10,10,10,10,10,10,10,0,
244,tricky,CH,peak in the middle,11,11,12,12,11,11,12,11,11,0,
245,tricky,CH,peak in the middle,13,13,14,14,13,13,13,13,13,0,
246,tricky,CH,peak in the middle,13,13,13,13,13,13,13,13,13,0,
247,very tricky,CH,peak in the middle,12,12,12,11,12,12,12,11,11,0.090909091,
248,extremely tricky,CH,peak in the middle,12,12,12,12,12,12,12,11,11,0.090909091,
249,tricky,CH,peak in the middle,13,13,14,14,13,13,14,13,13,0,
250,extremely tricky,CH,peak in the middle,11,11,12,12,11,11,12,10,10,0.1,
251,tricky,CH,peak in the middle,14,12,12,12,13,13,12,12,12,0.166666667,
252,very tricky,CH,peak in the middle,13,12,13,12,12,12,12,11,11,0.181818182,
253,open (not known yet),CH,peak in the middle,13,13,13,13,13,13,13,11,13,0.181818182,
254,very tricky,CH,peak in the middle,13,12,13,12,12,12,13,12,12,0.083333333,
255,tricky,CH,peak in the middle,14,13,14,13,13,14,14,13,13,0.076923077,
256,tricky,CH,peak in the middle,14,14,15,15,14,14,15,14,14,0,
257,tricky,CH,peak in the middle,10,11,11,11,10,10,10,10,10,0,
258,tricky,CH,peak in the middle,13,13,14,14,14,14,14,13,13,0,
259,tricky,CH,peak in the middle,14,13,14,14,14,14,14,13,13,0.076923077,
260,tricky,CH,peak in the middle,13,12,14,13,12,12,12,12,12,0.083333333,
261,very tricky,CH,peak in the middle,13,13,13,13,13,12,12,12,12,0.083333333,
262,tricky,CH,peak in the middle,11,11,11,11,11,11,11,11,11,0,
263,tricky,CH,peak in the middle,13,13,13,13,13,12,13,12,12,0.083333333,
264,very tricky,CH,peak in the middle,13,13,13,13,13,13,13,12,12,0.083333333,
265,very tricky,CH,peak in the middle,13,13,13,13,12,13,13,12,12,0.083333333,
266,extremely tricky,CH,bimodal,6,6,6,6,6,6,6,5,5,0.2,
267,tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
268,less tricky,CH,bimodal,6,6,6,7,6,6,6,6,6,0,
269,less tricky,CH,bimodal,7,7,7,7,7,7,7,7,7,0,
270,less tricky,CH,bimodal,7,7,7,7,7,7,7,7,7,0,
271,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
272,less tricky,CH,bimodal,5,5,6,5,5,5,5,5,5,0,
273,less tricky,CH,bimodal,5,5,5,5,5,5,5,5,5,0,
274,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
275,tricky,CH,bimodal,6,6,6,6,6,6,6,5,5,0.2,
276,less tricky,CH,bimodal,4,4,4,4,4,4,4,4,4,0,
277,less tricky,CH,bimodal,4,4,4,4,4,4,4,4,4,0,
278,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
279,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
280,less tricky,CH,bimodal,5,5,5,5,5,5,5,5,5,0,
281,less tricky,CH,bimodal,4,5,4,4,5,5,4,4,4,0,
282,tricky,CH,bimodal,4,4,5,5,4,4,5,4,4,0,
283,less tricky,CH,bimodal,5,5,5,5,5,5,5,5,5,0,
284,tricky,CH,bimodal,5,5,6,5,5,5,5,5,5,0,
285,tricky,CH,bimodal,5,5,5,6,5,5,5,5,5,0,
286,tricky,CH,bimodal,6,6,6,6,6,6,6,5,5,0.2,
287,tricky,CH,bimodal,5,5,6,6,5,5,6,5,5,0,
288,less tricky,CH,bimodal,6,6,6,6,6,6,6,6,6,0,
289,less tricky,CH,bimodal,5,5,5,5,5,5,5,5,5,0,
290,tricky,CH,bimodal,5,5,5,5,5,5,5,5,5,0,
291,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
292,less tricky,MIXED,peak at the bottom,3,4,3,3,4,4,3,3,3,0,
293,less tricky,MIXED,peak at the bottom,3,3,4,4,3,3,3,3,3,0,
294,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
295,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
296,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
297,tricky,MIXED,peak at the bottom,3,3,4,4,3,3,3,3,3,0,
298,less tricky,MIXED,peak at the bottom,3,4,5,4,4,4,4,3,3,0,
299,less tricky,MIXED,peak at the bottom,3,3,4,3,3,3,3,3,3,0,
300,less tricky,MIXED,peak at the bottom,4,4,4,4,4,4,5,4,4,0,
301,less tricky,MIXED,peak at the bottom,3,4,3,3,4,4,3,3,3,0,
302,less tricky,MIXED,peak at the bottom,3,5,5,4,5,5,5,3,3,0,
303,tricky,MIXED,peak at the bottom,3,4,5,4,4,4,4,3,3,0,
304,less tricky,MIXED,peak at the bottom,3,3,5,4,3,3,5,3,3,0,
305,less tricky,MIXED,peak at the bottom,3,4,5,4,4,4,5,3,3,0,
306,less tricky,MIXED,peak at the bottom,3,4,4,4,4,4,4,3,3,0,
307,less tricky,MIXED,peak at the bottom,3,3,4,4,3,3,4,3,3,0,
308,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
309,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
310,less tricky,MIXED,peak at the bottom,3,4,6,5,4,4,6,3,3,0,
311,less tricky,MIXED,peak at the bottom,3,3,3,4,4,4,4,3,3,0,
312,less tricky,MIXED,peak at the bottom,4,4,4,4,4,4,4,4,4,0,
313,very tricky,MIXED,peak at the bottom,4,4,4,4,4,4,4,3,3,0.333333333,
314,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
315,less tricky,MIXED,peak at the bottom,3,3,3,3,3,3,3,3,3,0,
316,tricky,MIXED,peak in the middle,10,10,12,11,10,10,11,10,10,0,
317,tricky,MIXED,peak in the middle,10,10,11,11,10,10,11,10,10,0,
318,extremely tricky,MIXED,peak in the middle,11,11,11,11,11,11,11,10,10,0.1,
319,very tricky,MIXED,peak in the middle,15,14,16,15,14,14,15,14,14,0.071428571,
320,very tricky,MIXED,peak in the middle,13,13,13,13,13,13,12,12,12,0.083333333,
321,tricky,MIXED,peak in the middle,14,14,16,16,14,14,15,14,14,0,
322,very tricky,MIXED,peak in the middle,13,13,13,13,13,13,13,12,12,0.083333333,
323,very tricky,MIXED,peak in the middle,13,13,14,14,13,13,14,13,13,0,
324,extremely tricky,MIXED,peak in the middle,10,10,10,10,10,10,10,9,9,0.111111111,
325,less tricky,MIXED,peak in the middle,14,14,15,15,14,14,15,14,14,0,
326,tricky,MIXED,peak in the middle,15,14,15,15,14,14,14,14,14,0.071428571,
327,tricky,MIXED,peak in the middle,13,14,14,14,13,13,13,13,13,0,
328,less tricky,MIXED,peak in the middle,13,13,13,14,13,13,14,13,13,0,
329,extremely tricky,MIXED,peak in the middle,11,12,12,12,12,12,12,10,10,0.1,
330,very tricky,MIXED,peak in the middle,13,12,13,13,13,12,13,12,12,0.083333333,
331,tricky,MIXED,peak in the middle,13,13,13,13,13,13,13,13,13,0,
332,tricky,MIXED,peak in the middle,13,14,14,14,14,14,14,13,13,0,
333,very tricky,MIXED,peak in the middle,12,11,13,13,11,11,13,11,11,0.090909091,
334,very tricky,MIXED,peak in the middle,11,11,12,11,10,10,11,10,10,0.1,
335,less tricky,MIXED,peak in the middle,14,14,14,14,14,14,14,14,14,0,
336,very tricky,MIXED,peak in the middle,11,11,12,12,12,12,11,11,11,0,
337,tricky,MIXED,peak in the middle,10,10,11,11,10,10,11,10,10,0,
338,tricky,MIXED,peak in the middle,14,14,15,15,15,15,16,14,14,0,
339,tricky,MIXED,peak in the middle,14,15,14,14,15,15,15,13,13,0.076923077,
340,tricky,MIXED,peak in the middle,12,12,12,12,12,12,12,11,11,0.090909091,
341,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
342,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
343,less tricky,MIXED,bimodal,6,7,7,6,7,7,7,6,6,0,
344,less tricky,MIXED,bimodal,6,6,8,7,6,6,6,6,6,0,
345,less tricky,MIXED,bimodal,4,4,4,5,4,4,4,4,4,0,
346,less tricky,MIXED,bimodal,5,5,5,5,5,5,6,5,5,0,
347,less tricky,MIXED,bimodal,6,6,6,6,6,6,6,6,6,0,
348,tricky,MIXED,bimodal,5,5,6,6,5,5,5,5,5,0,
349,tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
350,tricky,MIXED,bimodal,6,5,6,6,5,5,5,5,5,0.2,
351,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
352,tricky,MIXED,bimodal,5,5,4,4,4,4,4,4,4,0.25,
353,tricky,MIXED,bimodal,6,6,7,7,6,6,6,6,6,0,
354,less tricky,MIXED,bimodal,6,6,6,6,6,6,8,6,6,0,
355,less tricky,MIXED,bimodal,5,5,5,5,5,5,5,5,5,0,
356,tricky,MIXED,bimodal,5,5,5,6,5,5,5,5,5,0,
357,tricky,MIXED,bimodal,5,5,6,5,5,5,6,5,5,0,
