No.,trickiness,graph,time,RL,algo_T,algo_F,algo_L,algo_tdL,algo_tdS,algo_pw,LB,UB
89,extremely tricky,BN,bimodal,25,25,25,25,25,25,24,24,24
90,extremely tricky,BN,bimodal,21,21,21,21,21,21,21,20,20
91,extremely tricky,BN,bimodal,26,25,26,26,25,25,25,25,25
92,extremely tricky,BN,bimodal,25,24,25,25,24,24,24,24,24
93,open (not known yet),BN,bimodal,28,28,29,28,28,28,28,27,28
94,extremely tricky,BN,bimodal,23,23,23,23,23,23,23,22,22
95,extremely tricky,BN,bimodal,22,22,22,22,22,22,22,21,21
96,extremely tricky,BN,bimodal,22,22,22,22,22,22,22,21,21
97,extremely tricky,BN,bimodal,23,23,23,23,23,22,22,22,22
98,extremely tricky,BN,bimodal,23,23,22,22,22,22,22,22,22
99,very tricky,BN,bimodal,23,22,22,23,22,22,22,22,22
100,extremely tricky,BN,bimodal,26,26,26,26,26,26,26,25,25
101,extremely tricky,BN,peak at the bottom,16,16,16,16,16,16,16,15,15
102,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
103,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
104,tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
105,less tricky,BN,peak at the bottom,13,13,13,13,13,13,13,13,13
106,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
107,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
108,extremely tricky,BN,peak at the bottom,15,15,15,15,15,15,15,14,14
109,less tricky,BN,peak at the bottom,15,15,15,15,15,15,15,15,15
110,tricky,BN,peak at the bottom,14,13,13,13,13,13,13,13,13
111,less tricky,BN,peak at the bottom,16,16,16,16,16,16,16,16,16
112,extremely tricky,BN,peak at the bottom,14,14,14,14,14,14,14,13,13
113,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
114,very tricky,BN,peak at the bottom,14,14,14,14,13,13,13,13,13
115,tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
