No.,trickiness,graph,time,RL,algo_T,algo_F,algo_L,algo_tdL,algo_tdS,algo_pw,LB,UB,,
79,extremely tricky,BN,peak at the bottom,9,9,9,9,9,9,9,8,8,0.125,
80,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
81,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
82,less tricky,BN,peak at the bottom,6,6,6,6,6,6,6,6,6,0,
83,tricky,BN,peak at the bottom,8,9,9,8,8,8,8,8,8,0,
84,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
85,less tricky,BN,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
86,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
87,less tricky,BN,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
88,less tricky,BN,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
89,less tricky,BN,peak at the bottom,7,7,7,8,7,7,7,7,7,0,
90,extremely tricky,BN,peak at the bottom,8,8,8,8,8,8,8,7,7,0.142857143,
91,tricky,BN,peak at the bottom,7,8,7,7,8,8,7,7,7,0,
92,very tricky,BN,peak at the bottom,8,7,8,8,7,7,7,7,7,0.142857143,
93,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
94,tricky,BN,peak at the bottom,7,8,8,8,7,7,7,7,7,0,
95,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
96,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
97,extremely tricky,BN,peak at the bottom,8,8,8,8,8,8,8,7,7,0.142857143,
98,less tricky,BN,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
99,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
100,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
101,extremely tricky,BN,peak in the middle,32,32,31,32,32,32,32,29,30,0.066666667,
102,open (not known yet),BN,peak in the middle,33,32,34,34,32,33,33,30,32,0.03125,
103,extremely tricky,BN,peak in the middle,31,31,30,30,29,30,30,29,29,0.068965517,
104,extremely tricky,BN,peak in the middle,30,29,30,30,28,29,30,25,28,0.071428571,
105,open (not known yet),BN,peak in the middle,25,25,26,25,25,25,26,23,25,0,
106,open (not known yet),BN,peak in the middle,31,28,31,32,29,29,30,27,28,0.107142857,
107,extremely tricky,BN,peak in the middle,31,30,30,29,29,29,30,28,28,0.107142857,
108,extremely tricky,BN,peak in the middle,32,33,33,33,31,32,32,30,30,0.066666667,
109,very tricky,BN,peak in the middle,30,31,30,30,30,30,30,30,30,0,
110,extremely tricky,BN,peak in the middle,30,28,29,29,28,28,28,26,27,0.111111111,
111,extremely tricky,BN,peak in the middle,31,31,31,31,29,29,29,28,29,0.068965517,
112,extremely tricky,BN,peak in the middle,29,28,30,30,27,29,29,27,27,0.074074074,
113,extremely tricky,BN,peak in the middle,30,29,31,30,29,29,30,28,28,0.071428571,
114,extremely tricky,BN,peak in the middle,30,29,30,30,28,28,30,27,27,0.111111111,
115,extremely tricky,BN,peak in the middle,31,30,32,31,30,30,31,26,28,0.107142857,
116,open (not known yet),BN,peak in the middle,34,33,33,34,33,34,33,31,33,0.03030303,
117,extremely tricky,BN,peak in the middle,29,29,29,29,28,28,29,26,27,0.074074074,
118,extremely tricky,BN,peak in the middle,31,30,30,30,29,30,30,29,29,0.068965517,
119,extremely tricky,BN,peak in the middle,28,27,30,28,27,27,29,25,25,0.12,
120,extremely tricky,BN,peak in the middle,31,28,30,30,28,28,30,27,27,0.148148148,
121,open (not known yet),BN,peak in the middle,33,32,33,33,32,32,32,31,32,0.03125,
122,open (not known yet),BN,peak in the middle,32,31,31,31,31,30,32,28,30,0.066666667,
123,very tricky,BN,peak in the middle,34,32,33,33,32,32,32,32,32,0.0625,
124,open (not known yet),BN,peak in the middle,33,30,32,32,31,30,31,29,30,0.1,
125,open (not known yet),BN,peak in the middle,34,34,35,36,33,33,34,32,33,0.03030303,
126,less tricky,BN,bimodal,12,12,12,12,12,12,12,12,12,0,
127,very tricky,BN,bimodal,14,14,14,14,14,14,14,14,14,0,
128,extremely tricky,BN,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
129,tricky,BN,bimodal,13,13,13,13,13,13,13,13,13,0,
130,tricky,BN,bimodal,13,13,13,14,13,13,13,13,13,0,
131,less tricky,BN,bimodal,12,12,12,12,12,12,12,12,12,0,
132,extremely tricky,BN,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
133,less tricky,BN,bimodal,12,12,12,12,12,12,12,12,12,0,
134,extremely tricky,BN,bimodal,15,15,15,15,15,15,14,14,14,0.071428571,
135,extremely tricky,BN,bimodal,14,14,14,14,14,14,14,13,13,0.076923077,
136,tricky,BN,bimodal,11,11,11,11,11,11,11,11,11,0,
137,tricky,BN,bimodal,11,11,12,12,11,11,11,11,11,0,
138,tricky,BN,bimodal,12,13,12,12,12,12,12,12,12,0,
139,extremely tricky,BN,bimodal,12,12,12,12,12,12,12,11,11,0.090909091,
140,extremely tricky,BN,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
141,extremely tricky,BN,bimodal,13,14,14,14,14,14,14,13,13,0,
142,tricky,BN,bimodal,12,11,12,12,11,11,11,11,11,0.090909091,
143,extremely tricky,BN,bimodal,13,12,13,13,12,12,13,12,12,0.083333333,
144,extremely tricky,BN,bimodal,13,13,14,14,14,14,13,13,13,0,
145,very tricky,BN,bimodal,10,10,11,11,10,10,10,10,10,0,
146,very tricky,BN,bimodal,14,14,14,14,13,13,13,13,13,0.076923077,
147,extremely tricky,BN,bimodal,13,13,14,14,13,13,14,13,13,0,
148,less tricky,BN,bimodal,10,10,10,10,10,10,10,10,10,0,
149,tricky,BN,bimodal,12,12,13,13,12,12,12,12,12,0,
150,extremely tricky,BN,bimodal,11,12,12,12,12,12,11,11,11,0,
151,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
152,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
153,extremely tricky,CH,peak at the bottom,8,8,8,8,8,8,8,7,7,0.142857143,
154,less tricky,CH,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
155,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
156,less tricky,CH,peak at the bottom,7,7,8,7,7,7,7,7,7,0,
157,less tricky,CH,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
158,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
159,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
160,less tricky,CH,peak at the bottom,8,8,9,8,8,8,9,8,8,0,
161,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
162,less tricky,CH,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
163,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
164,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
165,less tricky,CH,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
166,tricky,CH,peak at the bottom,8,8,8,9,8,8,8,8,8,0,
167,extremely tricky,CH,peak at the bottom,8,8,8,8,8,8,8,7,7,0.142857143,
168,extremely tricky,CH,peak at the bottom,9,9,9,9,9,9,9,8,8,0.125,
169,less tricky,CH,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
170,extremely tricky,CH,peak at the bottom,8,8,8,8,8,8,8,7,7,0.142857143,
171,less tricky,CH,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
172,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
173,extremely tricky,CH,peak at the bottom,8,8,8,8,8,8,8,7,7,0.142857143,
174,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
175,tricky,CH,peak at the bottom,7,7,8,8,7,8,7,7,7,0,
176,extremely tricky,CH,peak in the middle,29,27,29,28,27,28,28,27,27,0.074074074,
177,open (not known yet),CH,peak in the middle,30,30,30,29,30,30,29,27,28,0.071428571,
178,open (not known yet),CH,peak in the middle,29,29,30,29,29,29,29,27,28,0.035714286,
179,extremely tricky,CH,peak in the middle,28,28,30,29,28,28,29,26,26,0.076923077,
180,extremely tricky,CH,peak in the middle,27,27,28,28,27,27,29,26,26,0.038461538,
181,extremely tricky,CH,peak in the middle,31,30,32,32,31,31,32,29,29,0.068965517,
182,open (not known yet),CH,peak in the middle,28,27,29,29,27,27,29,26,27,0.037037037,
183,extremely tricky,CH,peak in the middle,30,30,32,31,29,29,32,28,28,0.071428571,
184,very tricky,CH,peak in the middle,39,38,39,39,38,38,39,38,38,0.026315789,
185,extremely tricky,CH,peak in the middle,30,29,30,30,28,28,30,26,26,0.153846154,
186,extremely tricky,CH,peak in the middle,30,28,32,30,27,27,31,26,26,0.153846154,
187,open (not known yet),CH,peak in the middle,28,28,30,30,27,28,27,25,27,0.037037037,
188,open (not known yet),CH,peak in the middle,26,25,26,26,25,25,25,24,25,0.04,
189,extremely tricky,CH,peak in the middle,27,27,27,27,27,27,27,26,26,0.038461538,
190,extremely tricky,CH,peak in the middle,32,30,33,33,31,31,33,30,30,0.066666667,
191,extremely tricky,CH,peak in the middle,30,29,30,29,30,31,31,27,28,0.071428571,
192,extremely tricky,CH,peak in the middle,30,30,30,31,30,30,30,27,28,0.071428571,
193,extremely tricky,CH,peak in the middle,31,32,31,30,32,32,30,28,28,0.107142857,
194,open (not known yet),CH,peak in the middle,30,29,30,31,29,29,30,28,29,0.034482759,
195,extremely tricky,CH,peak in the middle,32,29,31,31,29,29,31,28,28,0.142857143,
196,extremely tricky,CH,peak in the middle,31,30,32,31,29,29,32,27,27,0.148148148,
197,open (not known yet),CH,peak in the middle,30,31,30,31,30,30,31,28,29,0.034482759,
198,extremely tricky,CH,peak in the middle,29,28,30,30,28,28,29,28,28,0.035714286,
199,extremely tricky,CH,peak in the middle,31,31,32,31,30,31,33,29,29,0.068965517,
200,open (not known yet),CH,peak in the middle,27,27,28,28,26,27,28,24,26,0.038461538,
201,tricky,CH,bimodal,13,13,13,13,13,13,13,13,13,0,
202,extremely tricky,CH,bimodal,10,9,10,10,10,10,10,9,9,0.111111111,
203,very tricky,CH,bimodal,11,12,11,12,12,12,12,11,11,0,
204,extremely tricky,CH,bimodal,11,11,11,11,11,11,11,10,10,0.1,
205,less tricky,CH,bimodal,13,13,13,13,13,13,13,13,13,0,
206,extremely tricky,CH,bimodal,12,12,12,12,12,12,12,11,11,0.090909091,
207,less tricky,CH,bimodal,10,10,10,10,10,10,10,10,10,0,
208,very tricky,CH,bimodal,13,14,14,14,14,14,14,13,13,0,
209,less tricky,CH,bimodal,11,11,11,11,11,11,11,11,11,0,
210,extremely tricky,CH,bimodal,13,13,14,14,14,13,13,13,13,0,
211,less tricky,CH,bimodal,12,12,12,12,12,12,12,12,12,0,
212,tricky,CH,bimodal,10,10,10,10,10,10,10,10,10,0,
213,tricky,CH,bimodal,13,14,13,14,14,14,13,13,13,0,
214,tricky,CH,bimodal,11,11,11,11,11,11,11,11,11,0,
215,less tricky,CH,bimodal,11,11,11,11,11,11,11,11,11,0,
216,extremely tricky,CH,bimodal,13,13,13,13,12,12,13,12,12,0.083333333,
217,extremely tricky,CH,bimodal,14,14,14,14,14,14,15,13,13,0.076923077,
218,tricky,CH,bimodal,13,12,13,12,12,12,13,12,12,0.083333333,
219,tricky,CH,bimodal,11,11,11,11,11,11,11,11,11,0,
220,very tricky,CH,bimodal,11,11,12,12,11,11,11,11,11,0,
221,extremely tricky,CH,bimodal,12,12,12,12,12,12,12,11,11,0.090909091,
222,tricky,CH,bimodal,14,14,15,14,14,14,14,14,14,0,
223,extremely tricky,CH,bimodal,12,12,12,12,12,12,12,11,11,0.090909091,
224,tricky,CH,bimodal,11,11,11,11,11,11,11,11,11,0,
225,less tricky,CH,bimodal,12,12,12,12,12,12,12,12,12,0,
226,less tricky,CH,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
227,less tricky,CH,peak at the bottom,6,6,6,6,6,6,6,6,6,0,
