No.,trickiness,graph,time,RL,algo_T,algo_F,algo_L,algo_tdL,algo_tdS,algo_pw,LB,UB,,
341,extremely tricky,MIXED,peak in the middle,29,28,29,29,27,27,29,27,27,0.074074074,
342,extremely tricky,MIXED,peak in the middle,30,29,32,31,29,28,32,27,28,0.071428571,
343,extremely tricky,MIXED,peak in the middle,29,28,29,30,28,27,30,26,27,0.074074074,
344,extremely tricky,MIXED,peak in the middle,32,32,32,32,31,32,32,30,30,0.066666667,
345,extremely tricky,MIXED,peak in the middle,31,30,32,32,30,30,32,29,30,0.033333333,
346,extremely tricky,MIXED,peak in the middle,29,28,31,30,27,27,29,27,27,0.074074074,
347,open (not known yet),MIXED,peak in the middle,29,27,30,30,27,27,30,25,26,0.115384615,
348,tricky,MIXED,peak in the middle,33,30,32,32,31,31,32,30,30,0.1,
349,open (not known yet),MIXED,peak in the middle,31,30,31,31,30,30,30,28,29,0.068965517,
350,open (not known yet),MIXED,peak in the middle,26,27,26,26,26,26,26,23,25,0.04,
351,less tricky,MIXED,bimodal,12,12,13,13,12,12,13,12,12,0,
352,extremely tricky,MIXED,bimodal,11,11,11,11,11,11,11,10,10,0.1,
353,less tricky,MIXED,bimodal,13,13,14,14,13,13,13,13,13,0,
354,extremely tricky,MIXED,bimodal,14,14,14,14,14,14,14,13,13,0.076923077,
355,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
356,less tricky,MIXED,bimodal,15,15,15,16,15,15,15,15,15,0,
357,less tricky,MIXED,bimodal,12,13,13,13,13,13,13,12,12,0,
358,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
359,less tricky,MIXED,bimodal,10,10,10,10,10,10,11,10,10,0,
360,tricky,MIXED,bimodal,13,12,13,13,12,13,14,12,12,0.083333333,
361,less tricky,MIXED,bimodal,11,11,11,12,11,11,11,11,11,0,
362,less tricky,MIXED,bimodal,10,10,10,10,10,10,10,10,10,0,
363,extremely tricky,MIXED,bimodal,12,12,12,12,12,12,12,11,11,0.090909091,
364,less tricky,MIXED,bimodal,13,13,13,13,13,13,13,13,13,0,
365,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
366,very tricky,MIXED,bimodal,13,13,14,14,13,13,13,13,13,0,
367,less tricky,MIXED,bimodal,12,12,13,12,12,12,12,12,12,0,
368,less tricky,MIXED,bimodal,12,12,12,12,12,12,13,12,12,0,
369,less tricky,MIXED,bimodal,13,13,13,13,12,13,14,12,12,0.083333333,
370,less tricky,MIXED,bimodal,12,12,12,12,12,12,12,12,12,0,
371,extremely tricky,MIXED,bimodal,12,12,12,12,12,12,12,11,11,0.090909091,
372,extremely tricky,MIXED,bimodal,11,11,11,11,11,11,11,10,10,0.1,
373,tricky,MIXED,bimodal,12,12,12,13,12,12,12,12,12,0,
374,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
375,extremely tricky,MIXED,bimodal,14,14,14,14,14,14,14,13,13,0.076923077,
376,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
377,tricky,MIXED,peak at the bottom,8,7,8,8,7,7,8,7,7,0.142857143,
378,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
379,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
380,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
381,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
382,less tricky,MIXED,peak at the bottom,6,6,6,6,6,6,6,6,6,0,
383,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
384,extremely tricky,MIXED,peak at the bottom,9,9,9,9,9,9,9,8,8,0.125,
385,tricky,MIXED,peak at the bottom,8,7,8,7,7,7,8,7,7,0.142857143,
386,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
387,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
388,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
389,tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
390,extremely tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,7,7,0.142857143,
391,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
392,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
393,tricky,MIXED,peak at the bottom,8,7,7,7,7,7,7,7,7,0.142857143,
394,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
395,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
396,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
397,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
398,extremely tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,6,6,0.166666667,
399,extremely tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,7,7,0.142857143,
400,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
401,extremely tricky,MIXED,peak in the middle,30,29,30,30,29,29,30,28,28,0.071428571,
402,extremely tricky,MIXED,peak in the middle,29,29,30,31,29,29,30,27,27,0.074074074,
403,open (not known yet),MIXED,peak in the middle,35,35,36,36,35,34,36,33,34,0.029411765,
404,open (not known yet),MIXED,peak in the middle,33,32,33,33,32,32,33,29,32,0.03125,
405,extremely tricky,MIXED,peak in the middle,30,31,30,30,30,29,30,27,27,0.111111111,
406,open (not known yet),MIXED,peak in the middle,35,36,35,36,34,35,35,32,34,0.029411765,
407,open (not known yet),MIXED,peak in the middle,31,30,31,31,29,29,31,27,30,0.033333333,
408,extremely tricky,MIXED,peak in the middle,27,27,27,27,27,27,27,26,26,0.038461538,
409,open (not known yet),MIXED,peak in the middle,33,33,34,34,34,33,34,30,33,0,
410,extremely tricky,MIXED,peak in the middle,31,30,32,32,29,29,32,28,28,0.107142857,
411,extremely tricky,MIXED,peak in the middle,31,31,31,31,30,31,31,29,29,0.068965517,
412,extremely tricky,MIXED,peak in the middle,29,27,29,30,27,27,28,26,26,0.115384615,
413,open (not known yet),MIXED,peak in the middle,33,31,33,33,31,30,33,28,30,0.1,
414,extremely tricky,MIXED,peak in the middle,29,28,28,27,28,28,29,27,27,0.074074074,
415,open (not known yet),MIXED,peak in the middle,31,30,32,32,30,31,32,26,29,0.068965517,
416,extremely tricky,MIXED,peak in the middle,30,28,30,30,28,28,29,27,27,0.111111111,
417,extremely tricky,MIXED,peak in the middle,31,30,30,31,30,30,30,30,30,0.033333333,
418,open (not known yet),MIXED,peak in the middle,28,28,28,28,28,28,28,26,28,0,
419,open (not known yet),MIXED,peak in the middle,35,34,34,34,34,34,34,32,33,0.060606061,
420,open (not known yet),MIXED,peak in the middle,30,29,30,30,29,29,30,27,28,0.071428571,
421,extremely tricky,MIXED,peak in the middle,36,36,35,35,35,35,35,34,34,0.058823529,
422,open (not known yet),MIXED,peak in the middle,30,30,32,31,30,30,31,26,29,0.034482759,
423,extremely tricky,MIXED,peak in the middle,32,30,31,31,30,30,31,27,29,0.103448276,
424,extremely tricky,MIXED,peak in the middle,31,30,30,30,28,29,30,27,27,0.148148148,
425,extremely tricky,MIXED,peak in the middle,36,35,36,36,35,35,36,34,34,0.058823529,
426,extremely tricky,MIXED,bimodal,12,12,12,12,12,12,12,11,11,0.090909091,
427,tricky,MIXED,bimodal,12,12,12,12,12,12,12,12,12,0,
428,tricky,MIXED,bimodal,13,13,13,13,13,13,13,13,13,0,
429,very tricky,MIXED,bimodal,12,11,12,12,11,11,12,11,11,0.090909091,
430,extremely tricky,MIXED,bimodal,15,15,15,15,15,15,15,14,14,0.071428571,
431,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
432,extremely tricky,MIXED,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
433,less tricky,MIXED,bimodal,12,12,12,12,12,12,12,12,12,0,
434,very tricky,MIXED,bimodal,12,12,11,12,12,12,11,11,11,0.090909091,
435,tricky,MIXED,bimodal,11,11,11,12,11,11,11,11,11,0,
436,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
437,extremely tricky,MIXED,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
438,extremely tricky,MIXED,bimodal,11,11,11,11,11,11,11,10,10,0.1,
439,extremely tricky,MIXED,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
440,tricky,MIXED,bimodal,13,13,13,13,13,13,13,13,13,0,
441,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
442,tricky,MIXED,bimodal,12,12,13,12,12,12,13,12,12,0,
443,extremely tricky,MIXED,bimodal,12,11,12,12,11,11,12,11,11,0.090909091,
444,tricky,MIXED,bimodal,12,12,13,13,12,12,12,12,12,0,
445,tricky,MIXED,bimodal,12,12,13,12,12,12,13,12,12,0,
446,extremely tricky,MIXED,bimodal,13,12,13,13,12,12,13,12,12,0.083333333,
447,very tricky,MIXED,bimodal,14,14,14,14,13,14,14,13,13,0.076923077,
448,extremely tricky,MIXED,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
449,very tricky,MIXED,bimodal,11,11,12,12,11,11,12,11,11,0,
450,tricky,MIXED,bimodal,12,11,11,11,11,11,11,11,11,0.090909091,
451,tricky,MIXED,peak at the bottom,9,8,8,8,8,8,8,8,8,0.125,
452,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
453,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
454,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
455,less tricky,MIXED,peak at the bottom,6,6,6,6,6,6,6,6,6,0,
456,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
457,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
458,very tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,7,7,0.142857143,
459,tricky,MIXED,peak at the bottom,8,7,7,7,7,7,7,7,7,0.142857143,
460,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
461,tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,6,6,0.166666667,
462,tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,7,7,0.142857143,
463,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
464,tricky,MIXED,peak at the bottom,6,6,7,6,6,6,6,6,6,0,
465,tricky,MIXED,peak at the bottom,8,8,9,9,8,8,8,8,8,0,
466,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
467,less tricky,MIXED,peak at the bottom,9,9,9,9,9,9,9,9,9,0,
468,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
469,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
470,very tricky,MIXED,peak at the bottom,8,9,9,9,9,9,9,8,8,0,
471,very tricky,MIXED,peak at the bottom,7,7,8,8,7,7,8,7,7,0,
472,less tricky,MIXED,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
473,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
474,less tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
475,extremely tricky,MIXED,peak at the bottom,7,7,7,7,7,7,7,6,6,0.166666667,
476,open (not known yet),MIXED,peak in the middle,28,29,28,28,29,29,28,26,28,0,
477,open (not known yet),MIXED,peak in the middle,30,30,30,30,30,30,30,27,29,0.034482759,
478,open (not known yet),MIXED,peak in the middle,33,32,33,33,32,33,33,29,32,0.03125,
479,extremely tricky,MIXED,peak in the middle,29,30,30,30,30,30,29,28,28,0.035714286,
480,extremely tricky,MIXED,peak in the middle,34,34,35,34,34,34,34,34,34,0,
481,open (not known yet),MIXED,peak in the middle,29,28,30,29,28,28,29,26,28,0.035714286,
482,open (not known yet),MIXED,peak in the middle,29,28,31,30,28,28,29,26,27,0.074074074,
483,open (not known yet),MIXED,peak in the middle,32,31,32,31,31,31,32,28,30,0.066666667,
484,open (not known yet),MIXED,peak in the middle,33,33,34,34,33,33,32,30,32,0.03125,
485,extremely tricky,MIXED,peak in the middle,32,32,34,34,32,32,32,29,31,0.032258065,
486,open (not known yet),MIXED,peak in the middle,33,34,34,34,34,34,34,30,32,0.03125,
487,open (not known yet),MIXED,peak in the middle,32,32,33,32,32,32,32,30,31,0.032258065,
488,open (not known yet),MIXED,peak in the middle,31,33,32,32,32,32,31,28,31,0,
489,open (not known yet),MIXED,peak in the middle,35,35,35,35,35,35,35,33,35,0,
490,extremely tricky,MIXED,peak in the middle,29,30,32,32,30,29,31,29,29,0,
491,open (not known yet),MIXED,peak in the middle,35,35,36,36,35,35,35,33,35,0,
492,open (not known yet),MIXED,peak in the middle,31,30,31,31,30,30,30,28,30,0.033333333,
493,open (not known yet),MIXED,peak in the middle,31,31,32,32,31,31,31,27,30,0.033333333,
494,open (not known yet),MIXED,peak in the middle,32,34,32,33,33,33,32,30,32,0,
495,extremely tricky,MIXED,peak in the middle,35,35,35,35,35,35,34,34,34,0.029411765,
496,extremely tricky,MIXED,peak in the middle,31,30,31,31,30,30,30,27,29,0.068965517,
497,open (not known yet),MIXED,peak in the middle,31,30,34,32,30,30,30,28,30,0.033333333,
498,open (not known yet),MIXED,peak in the middle,31,31,31,31,30,30,30,28,30,0.033333333,
499,extremely tricky,MIXED,peak in the middle,34,34,34,34,33,33,34,31,33,0.03030303,
500,open (not known yet),MIXED,peak in the middle,35,34,36,36,34,34,36,30,34,0.029411765,
501,extremely tricky,MIXED,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
502,very tricky,MIXED,bimodal,10,10,11,11,10,10,11,10,10,0,
503,tricky,MIXED,bimodal,13,13,14,13,13,13,13,13,13,0,
504,extremely tricky,MIXED,bimodal,12,12,12,12,12,12,12,11,11,0.090909091,
505,extremely tricky,MIXED,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
506,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
507,tricky,MIXED,bimodal,13,13,14,14,13,13,13,13,13,0,
508,very tricky,MIXED,bimodal,15,15,15,15,15,15,14,14,14,0.071428571,
509,tricky,MIXED,bimodal,13,13,14,14,13,13,13,13,13,0,
510,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
511,tricky,MIXED,bimodal,13,13,13,13,13,13,13,13,13,0,
512,tricky,MIXED,bimodal,13,13,14,14,13,13,13,13,13,0,
513,tricky,MIXED,bimodal,12,12,12,12,12,12,12,12,12,0,
514,tricky,MIXED,bimodal,12,12,12,12,12,12,12,12,12,0,
515,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
516,less tricky,MIXED,bimodal,13,13,13,13,13,13,13,13,13,0,
517,less tricky,MIXED,bimodal,14,14,15,14,14,14,14,14,14,0,
518,tricky,MIXED,bimodal,11,12,11,11,12,12,11,11,11,0,
519,very tricky,MIXED,bimodal,12,13,13,13,13,13,13,12,12,0,
520,tricky,MIXED,bimodal,12,12,12,12,11,11,12,11,11,0.090909091,
521,less tricky,MIXED,bimodal,10,10,10,10,10,10,10,10,10,0,
522,tricky,MIXED,bimodal,11,11,11,12,11,11,11,11,11,0,
523,less tricky,MIXED,bimodal,11,11,12,11,11,11,11,11,11,0,
524,extremely tricky,MIXED,bimodal,15,15,15,15,15,15,15,14,14,0.071428571,
525,less tricky,MIXED,bimodal,11,11,11,11,11,11,11,11,11,0,
